county,year,population,source,rate
Franklin,1966,24400,Intercensal Estimate,0.008264462809917328
Garfield,1966,2800,Intercensal Estimate,0.0
Grant,1966,46100,Intercensal Estimate,0.035955056179775235
Grays Harbor,1966,57200,Intercensal Estimate,0.014184397163120588
Island,1966,23100,Intercensal Estimate,0.03125
Jefferson,1966,10000,Intercensal Estimate,0.020408163265306145
King,1966,1047500,Intercensal Estimate,0.02294921875
Kitsap,1966,91600,Intercensal Estimate,0.020044543429844186
Kittitas,1966,22800,Intercensal Estimate,0.017857142857142794
Klickitat,1966,12500,Intercensal Estimate,-0.03100775193798455
Lewis,1966,43400,Intercensal Estimate,0.011655011655011593
Lincoln,1966,10000,Intercensal Estimate,-0.00990099009900991
Mason,1966,18400,Intercensal Estimate,0.03370786516853941
Okanogan,1966,25000,Intercensal Estimate,-0.003984063745019917
Pacific,1966,15000,Intercensal Estimate,0.020408163265306145
Pend Oreille,1966,6200,Intercensal Estimate,0.016393442622950838
Pierce,1966,368400,Intercensal Estimate,0.027328499721137822
San Juan,1966,3100,Intercensal Estimate,0.0
Skagit,1966,51200,Intercensal Estimate,0.005893909626718985
Skamania,1966,5300,Intercensal Estimate,-0.036363636363636376
Snohomish,1966,222500,Intercensal Estimate,0.04607428302773853
Spokane,1966,276600,Intercensal Estimate,-0.0021645021645021467
Stevens,1966,17500,Intercensal Estimate,0.0
Thurston,1966,66600,Intercensal Estimate,0.03416149068322971
Wahkiakum,1966,3400,Intercensal Estimate,0.0
Walla Walla,1966,41200,Intercensal Estimate,-0.004830917874396157
Whatcom,1966,76600,Intercensal Estimate,0.01997336884154466
Whitman,1966,34700,Intercensal Estimate,0.020588235294117574
Yakima,1966,143400,Intercensal Estimate,0.0
Adams,1967,11000,Intercensal Estimate,0.037735849056603765
Asotin,1967,13600,Intercensal Estimate,0.03816793893129766
Benton,1967,64300,Intercensal Estimate,0.019017432646592614
Chelan,1967,40400,Intercensal Estimate,0.017632241813602123
Clallam,1967,33600,Intercensal Estimate,0.03384615384615386
Clark,1967,117200,Intercensal Estimate,0.047363717605004574
Columbia,1967,4500,Intercensal Estimate,0.022727272727272707
Cowlitz,1967,65900,Intercensal Estimate,0.03291536050156729
Douglas,1967,16100,Intercensal Estimate,0.03205128205128216
Ferry,1967,3900,Intercensal Estimate,0.026315789473684292
Franklin,1967,25200,Intercensal Estimate,0.032786885245901676
Garfield,1967,2900,Intercensal Estimate,0.03571428571428581
Grant,1967,43300,Intercensal Estimate,-0.06073752711496749
Grays Harbor,1967,58800,Intercensal Estimate,0.027972027972027913
Island,1967,24200,Intercensal Estimate,0.04761904761904767
Jefferson,1967,10300,Intercensal Estimate,0.030000000000000027
King,1967,1098500,Intercensal Estimate,0.048687350835322274
Kitsap,1967,93300,Intercensal Estimate,0.018558951965065518
Kittitas,1967,23600,Intercensal Estimate,0.03508771929824572
Klickitat,1967,12600,Intercensal Estimate,0.008000000000000007
Lewis,1967,44200,Intercensal Estimate,0.018433179723502224
Lincoln,1967,10000,Intercensal Estimate,0.0
Mason,1967,19100,Intercensal Estimate,0.03804347826086962
Okanogan,1967,25200,Intercensal Estimate,0.008000000000000007
Pacific,1967,14500,Intercensal Estimate,-0.033333333333333326
Pend Oreille,1967,6100,Intercensal Estimate,-0.016129032258064502
Pierce,1967,383300,Intercensal Estimate,0.04044516829533107
San Juan,1967,3400,Intercensal Estimate,0.09677419354838701
Skagit,1967,52000,Intercensal Estimate,0.015625
Skamania,1967,5500,Intercensal Estimate,0.037735849056603765
Snohomish,1967,235700,Intercensal Estimate,0.059325842696629216
Spokane,1967,274200,Intercensal Estimate,-0.008676789587852451
Stevens,1967,17800,Intercensal Estimate,0.017142857142857126
Thurston,1967,69700,Intercensal Estimate,0.04654654654654644
Wahkiakum,1967,3600,Intercensal Estimate,0.05882352941176472
Walla Walla,1967,42000,Intercensal Estimate,0.01941747572815533
Whatcom,1967,79100,Intercensal Estimate,0.03263707571801566
Whitman,1967,35800,Intercensal Estimate,0.03170028818443793
Yakima,1967,144600,Intercensal Estimate,0.008368200836819994
Adams,1968,11000,Intercensal Estimate,0.0
Asotin,1968,13600,Intercensal Estimate,0.0
Benton,1968,65200,Intercensal Estimate,0.013996889580093264
Chelan,1968,40600,Intercensal Estimate,0.004950495049504955
Clallam,1968,34300,Intercensal Estimate,0.02083333333333326
Clark,1968,122500,Intercensal Estimate,0.04522184300341303
Columbia,1968,4700,Intercensal Estimate,0.04444444444444451
Cowlitz,1968,68200,Intercensal Estimate,0.03490136570561453
Douglas,1968,16600,Intercensal Estimate,0.03105590062111796
Ferry,1968,3800,Intercensal Estimate,-0.02564102564102566
Franklin,1968,25600,Intercensal Estimate,0.015873015873015817
Garfield,1968,2900,Intercensal Estimate,0.0
Grant,1968,42900,Intercensal Estimate,-0.009237875288683584
Grays Harbor,1968,59300,Intercensal Estimate,0.008503401360544283
Island,1968,25000,Intercensal Estimate,0.03305785123966931
Jefferson,1968,10700,Intercensal Estimate,0.03883495145631066
King,1968,1150000,Intercensal Estimate,0.04688211197086933
Kitsap,1968,96200,Intercensal Estimate,0.031082529474812493
Kittitas,1968,24600,Intercensal Estimate,0.04237288135593231
Klickitat,1968,12600,Intercensal Estimate,0.0
Lewis,1968,45300,Intercensal Estimate,0.02488687782805421
Lincoln,1968,10000,Intercensal Estimate,0.0
Mason,1968,19600,Intercensal Estimate,0.02617801047120416
Okanogan,1968,25600,Intercensal Estimate,0.015873015873015817
Pacific,1968,14800,Intercensal Estimate,0.020689655172413834
Pend Oreille,1968,6000,Intercensal Estimate,-0.016393442622950838
Pierce,1968,398100,Intercensal Estimate,0.03861205322201933
San Juan,1968,3600,Intercensal Estimate,0.05882352941176472
Skagit,1968,52600,Intercensal Estimate,0.011538461538461497
Skamania,1968,5700,Intercensal Estimate,0.036363636363636376
Snohomish,1968,249000,Intercensal Estimate,0.056427662282562574
Spokane,1968,276300,Intercensal Estimate,0.007658643326039494
Stevens,1968,17600,Intercensal Estimate,-0.011235955056179803
Thurston,1968,72900,Intercensal Estimate,0.045911047345767564
Wahkiakum,1968,3300,Intercensal Estimate,-0.08333333333333337
Walla Walla,1968,41300,Intercensal Estimate,-0.01666666666666672
Whatcom,1968,81200,Intercensal Estimate,0.026548672566371723
Whitman,1968,37300,Intercensal Estimate,0.04189944134078205
Yakima,1968,145500,Intercensal Estimate,0.006224066390041472
Adams,1969,11400,Intercensal Estimate,0.036363636363636376
Asotin,1969,13500,Intercensal Estimate,-0.007352941176470562
Benton,1969,66000,Intercensal Estimate,0.012269938650306678
Chelan,1969,40300,Intercensal Estimate,-0.007389162561576401
Clallam,1969,34600,Intercensal Estimate,0.008746355685131268
Clark,1969,129000,Intercensal Estimate,0.05306122448979589
